id,year,make,model,trim1,trim2
0a6636643495,2013.0,Infiniti,FX37,FX37,Base Premium Pkg
0a732faadfe8,2013.0,Chevrolet,Equinox,Equinox,LS
0a84dac5df69,2013.0,Smart,fortwo,fortwo,pure
0a92461d365d,2015.0,Chevrolet,Tahoe,Tahoe,LTZ
0a943856ea46,2014.0,Kia,Forte,Forte,EX
0aa52c458e8a,2015.0,Dodge,Dart,Dart,SXT
0aa83daa6f78,2013.0,BMW,X5,X5,xDrive35i Premium
0ab2e2edfa32,2015.0,Ford,Flex,Flex,SEL
0ab40a2fd4fc,2013.0,Toyota,Prius,Prius,Two
0acfffdf94d1,2016.0,Ford,Focus,Focus,RS
0ad66cb03617,2013.0,Nissan,Rogue,Rogue,SV
0adb31665745,2014.0,Acura,RDX,RDX,Base
0add11a25ebb,2013.0,Ford,Fusion,Fusion,SE
0afd3707d6ce,2014.0,Toyota,Avalon,Avalon,XLE
0b033553a58a,2013.0,Buick,Verano,Verano,Base
0b0724a78f90,2014.0,Mercedes-Benz,C-Class,C-Class,C 300 Luxury 4MATIC
0b352a7001b1,2014.0,Smart,fortwo,fortwo,pure
0b42a5d3dfa0,2014.0,Ford,Explorer,Explorer,XLT
0b42c8d2842c,2013.0,Chevrolet,Malibu,Malibu,LS
0b46410ba9b2,2013.0,Buick,Encore,Encore,Base
0b6c1ec65b57,2014.0,Mercedes-Benz,M-Class,M-Class,ML 350 4MATIC w/Premium Pkg 1
0b73517ef85b,2015.0,Dodge,Journey,Journey,SXT
0b8d3844583f,2015.0,Lincoln,MKX,MKX,Base
0b9d03ec6720,2012.0,Toyota,Prius Plug-in Hybrid,Prius Plug-in Hybrid,Base
0baa53d612d9,2015.0,Chrysler,200,200,Limited
0baa6b9543dc,2013.0,Honda,CR-V,CR-V,LX
0bb87dac6ad9,2013.0,Ford,Escape,Escape,SE
0bd04c75ec17,2012.0,FIAT,500c,500c,Pop
0bd2d5c4755e,2014.0,FIAT,500L,500L,Easy
0bdb8b1cba05,2016.0,Toyota,Tacoma,Tacoma,TRD Sport
0bdd2e625f8a,2015.0,Chevrolet,Sonic,Sonic,LT Auto
0bdfb9967be2,2015.0,Honda,Fit,Fit,EX
0be425f3f46a,2015.0,Buick,Encore,Encore,Base
0be7717e4b2a,2013.0,Toyota,Prius v,Prius v,Three
0bf768bbffae,2014.0,Mercedes-Benz,CLA,CLA,CLA250
0c1bc2f3012d,2013.0,Honda,Civic,Civic,EX
0c3481991be4,2015.0,Honda,Fit,Fit,EX
0c4659adc7e4,2014.0,Toyota,Corolla,Corolla,LE
0c56c040a690,2016.0,Dodge,Charger,Charger,R/T
0c73bef70ead,2013.0,Audi,Allroad,Allroad,2.0T quattro Premium
0c74f69414ef,2014.0,Jeep,Patriot,Patriot,Sport
0c833722fc9d,2013.0,Mercedes-Benz,C-Class,C-Class,C300 Sport 4MATIC W/ Premium Pkg 1
0c8f105618d4,2013.0,Nissan,Altima,Altima,2.5 SV
0c9265af0ddf,2013.0,Chevrolet,Tahoe,Tahoe,LT
0c992d7d6742,2013.0,Lexus,CT 200h,CT 200h,Base
0c9a9ab8fbd2,2013.0,Volkswagen,Passat,Passat,SE PZEV
0ca342108368,2015.0,Mercedes-Benz,GLA,GLA,GLA 250 4MATIC
0cce02afe3a5,2012.0,Mazda,Mazda3,Mazda3,i Touring
0cd58c993763,2015.0,Chevrolet,Spark,Spark,1LT CVT
0cd9dc1a1681,2016.0,Hyundai,Accent,Accent,SE
0cdf5b5d0ce1,2014.0,Audi,A4,A4,2.0T quattro Premium Plus
0cdfe597590f,2013.0,Mazda,MAZDA3,MAZDA3,i Grand Touring
0ce36c1e1d16,2014.0,Chevrolet,Silverado 2500HD,Silverado 2500HD,LT
0ce66b539f52,2016.0,Hyundai,Sonata Hybrid,Sonata Hybrid,SE
0cf8dfddfe3c,2014.0,Honda,Accord,Accord,EX-L
0d04a7b8c4bf,2015.0,Nissan,Versa Note,Versa Note,S Plus
0d05408f6888,2014.0,Buick,Verano,Verano,Base
0d0be8f77fa8,2014.0,GMC,Terrain,Terrain,SLT-1
0d1a9caf4350,2016.0,MINI,Countryman,Countryman,Cooper S
0d24b7bea210,2012.0,Dodge,Challenger,Challenger,R/T
0d3203a9a5a1,2015.0,Nissan,Versa Note,Versa Note,SR
0d3adbbc9a8b,2011.0,Honda,Accord Crosstour,Accord Crosstour,EX-L
0d4668ed98d1,2013.0,Cadillac,ATS,ATS,2.0T Luxury
0d4b67f458bb,2014.0,Ford,Explorer,Explorer,Sport
0d53224da2b7,2013.0,Dodge,Challenger,Challenger,R/T
0d549ae73675,2015.0,Hyundai,Santa Fe Sport,Santa Fe Sport,2.4L
0d6004179186,2015.0,Ford,Focus,Focus,SE
0d6817a96229,2013.0,Honda,CR-V,CR-V,LX
0d83878a36d6,2014.0,Volkswagen,Jetta,Jetta,GLI Autobahn
0d851b7c73f4,2013.0,Chevrolet,Equinox,Equinox,LT 4dr SUV w/ 1LT
0d97ffd34927,2015.0,Kia,Forte,Forte,LX
0d9d1a5c7e0c,2014.0,Honda,Civic,Civic,EX
0d9ed6bc4c7b,2014.0,Toyota,Prius,Prius,Two
0dc831fb95b1,2012.0,BMW,1 Series,1 Series,135i
0dcc050de087,2015.0,Dodge,Journey,Journey,SXT
0dcdcfdaf0d3,2014.0,Kia,Soul,Soul,+
0dd757bc8ffd,2014.0,Honda,Accord Plug-In,Accord Plug-In,Base
0dd7f86798d6,2015.0,Volkswagen,Jetta,Jetta,SE PZEV
0dd88af22580,2014.0,Chrysler,300,300,S
0ddb74eaf9c9,2014.0,Hyundai,Accent,Accent,GS
0dddbf011c77,2014.0,GMC,Acadia,Acadia,SLE-2
0de66245f268,2016.0,Hyundai,Azera,Azera,Base
0de9dc882416,2015.0,Chrysler,200,200,S
0df597c7cc03,2015.0,Buick,LaCrosse,LaCrosse,Leather
0df87409afc9,2014.0,Lincoln,MKZ Hybrid,MKZ Hybrid,Base
0dfde35f5c87,2016.0,Cadillac,CTS,CTS,2.0T
0e0571dc40fd,2013.0,INFINITI,M35h,M35h,Base w/Premium Pkg
0e0e539cc58a,2013.0,Ford,Explorer,Explorer,Base
0e12875c2874,2013.0,Chevrolet,Malibu,Malibu,Eco
0e1a091d1b8a,2013.0,BMW,Z4,Z4,sDrive35i
0e1ae9734c07,2014.0,Hyundai,Sonata,Sonata,Limited 2.0T
0e2a790fac9c,2013.0,Honda,Accord,Accord,LX
0e5089c663d2,2014.0,Volkswagen,Tiguan,Tiguan,SEL 4Motion
0e53d61f576f,2013.0,GMC,Terrain,Terrain,SLE-2
0e5c7b1b2021,2013.0,BMW,5 Series,5 Series,550i xDrive W/ M Sport Pkg
0e6a7d824cb1,2015.0,Lexus,RX 350,RX 350,Base
0e71c11be4c6,2014.0,Ford,Focus,Focus,SE
0e749ac77fe1,2015.0,Ford,Fusion,Fusion,SE
0e7f1a182855,2015.0,Ford,Fiesta,Fiesta,SE
0e80f05bc010,2013.0,Honda,Accord,Accord,EX-L V6
0e8c287fa402,2014.0,Chevrolet,Equinox,Equinox,LT
0e96fcdaadd5,2012.0,Chevrolet,Equinox,Equinox,LS
0eabbbd98f87,2015.0,Chevrolet,Spark,Spark,LS CVT
0eb3bb86986c,2015.0,GMC,Terrain,Terrain,SLE-1
0eb7439f8858,2013.0,Chevrolet,Cruze,Cruze,1LT Auto
0ecbf336659e,2014.0,Nissan,Versa Note,Versa Note,SV
0ed6904e1004,2012.0,Ford,F-250 Super Duty,F-250 Super Duty,Lariat
0eda87c55001,2014.0,Toyota,Corolla,Corolla,LE
0ee135a3cccc,2014.0,INFINITI,Q50,Q50,Premium
0ee917a53e41,2014.0,Kia,Cadenza,Cadenza,Limited
0eeaf1ff136d,2014.0,BMW,5 Series,5 Series,528i
0eefeb9207cc,2016.0,Nissan,Frontier,Frontier,SV
0ef2756331a5,2014.0,Hyundai,Accent,Accent,GS
0ef8431fd26e,2013.0,Hyundai,Sonata,Sonata,SE 2.0T
0efbfc30dc81,2014.0,Buick,Encore,Encore,Base
0f0455900d85,2013.0,Kia,Optima,Optima,EX
0f1d1af96b62,2013.0,Toyota,RAV4,RAV4,XLE
0f25cbfdcb93,2013.0,Mazda,Mazda3,Mazda3,i Sport
0f3ad52f7b29,2014.0,GMC,Sierra 1500,Sierra 1500,SLE
0f3be372397a,2013.0,Honda,Accord,Accord,LX
0f3e6ca0af86,2014.0,Subaru,Forester,Forester,2.5i Premium
0f4d24f60610,2014.0,Chevrolet,Camaro,Camaro,LT
0f55f60c98dc,2013.0,Toyota,Camry,Camry,SE
0f56849057a6,2015.0,Volkswagen,Passat,Passat,SE
0f592813cf02,2014.0,BMW,X1,X1,xDrive28i
0f84ea8711da,2013.0,BMW,X1,X1,xDrive28i
0f95a8efd406,2014.0,Jeep,Wrangler Unlimited,Wrangler Unlimited,Sahara
0fa006af671b,2016.0,Nissan,Sentra,Sentra,S
0fccffe97e60,2015.0,Toyota,Sienna,Sienna,LE 7-Passenger
0fcebc9fa59f,2015.0,Nissan,Versa,Versa,1.6 SV
0fd10d68f430,2013.0,Kia,Soul,Soul,+
0fdc5c554bfa,2016.0,Honda,HR-V,HR-V,LX
0feb26c8ed8b,2012.0,Jeep,Grand Cherokee,Grand Cherokee,Laredo
0fef23be11b4,2016.0,Nissan,Altima,Altima,3.5 SL
1008c355abcc,2012.0,Honda,Crosstour,Crosstour,EX-L V6
1026a0251afb,2014.0,FIAT,500L,500L,Lounge
1039c802abd0,2014.0,Nissan,Altima,Altima,2.5 S
10438223cb80,2013.0,GMC,Acadia,Acadia,Denali
1086ea20632d,2014.0,Dodge,Challenger,Challenger,SXT
1097e14ed1fa,2013.0,Honda,Odyssey,Odyssey,EX-L
10988604ee60,2014.0,Dodge,Durango,Durango,R/T
10a3dbb9d8b4,2014.0,Honda,CR-V,CR-V,EX
10aad962d454,2011.0,Chevrolet,Equinox,Equinox,LT
10b4f3dd65b4,2014.0,Honda,Civic,Civic,EX
10bf107dc524,2013.0,Acura,TL,TL,Base
10d2b8d7bcb1,2014.0,Honda,Civic,Civic,LX
10df5c0980c4,2014.0,Nissan,Versa Note,Versa Note,S Plus
10e03166b5dc,2014.0,Ford,Flex,Flex,SEL
10ebc4afecc8,2013.0,Nissan,Altima,Altima,2.5 SL
10f03351804a,2014.0,Honda,Accord,Accord,LX-S
110b0bf6aa7b,2015.0,Chevrolet,Impala,Impala,LS
1114eaff3743,2014.0,Ford,Taurus,Taurus,SEL
1122f8571392,2011.0,Kia,Sorento,Sorento,EX
1138ff9be217,2014.0,Nissan,Maxima,Maxima,3.5 S
114185b60312,2013.0,Smart,fortwo,fortwo,pure
114bf4158e2a,2014.0,Nissan,Maxima,Maxima,3.5 S
1151413b3ed8,2013.0,Toyota,Prius v,Prius v,Three
11607edbdf89,2013.0,GMC,Acadia,Acadia,Denali
117eb521a93b,2013.0,FIAT,500,500,Pop
117f500dc99e,2013.0,Chevrolet,Volt,Volt,Base
118b161d6d6c,2014.0,Buick,Verano,Verano,Leather Group
1191c7e4c7ba,2014.0,BMW,3 Series,3 Series,328i
119c46190a23,2015.0,Chevrolet,Cruze,Cruze,1LT Manual
119fb1ad45c9,2013.0,Nissan,Murano,Murano,SV
11acc40dc0ea,2010.0,Mazda,CX-7,CX-7,s Touring
11b21aa509c3,2016.0,Jeep,Renegade,Renegade,Latitude
